AberdeenAngusSteakHouses,93077634,KensingtonAndChelsea
956,Frosty,European,4000
872,Falafel,Eastern,5000
663,Blizzard,European,1000
923,ChickenTikkaMasala,Eastern,8000
960,Pretzel,European,14000
536,SpicyChickenSandwich,European,12000
794,KhoreshAnaar,Iranian,16000
216,Kateh,Iranian,11000
932,HaveejPolow,Iranian,4000
776,CherryLimeade,European,11000
722,DoubleShackBurger,European,2000
156,Shanklish,Eastern,10000
319,SoftTacos,European,14000
836,DolmeFelfel,Iranian,11000
564,QuwarmahAlDajaj,Eastern,13000
371,McFlurry,European,12000
779,Chicken,European,6000
102,CurlyFries,European,19000
757,Whopper,European,16000

AceCafeLondon,11022574,Camden
976,SoftTacos,European,17000
389,BhindiMasala,Eastern,12000
568,KebabKaraz,Eastern,1000
064,Hummus,Eastern,15000
074,Chicken,European,9000

Albannach,66701294,Haringey
735,SpicyChickenSandwich,European,9000
219,ChickenTenders,European,7000
468,KhoreshGhaarch,Iranian,10000
541,AnimalStyleBurger,European,15000
543,BakedApplePie,European,4000
854,KababKoobideh,Iranian,6000
474,Pretzel,European,8000
477,EggMcMuffin,European,5000
295,AnimalStyleFries,European,3000
188,KhoreshBaadenjaan,Iranian,3000
581,Fattoush,Eastern,6000
225,KoofteBerenji,Iranian,16000
811,BhindiMasala,Eastern,7000
821,McFlurry,European,19000
296,TahCheen,Iranian,13000
217,EslaamboliPolow,Iranian,8000

Aubergine,90171209,Newham
984,IraqiMasgouf,Eastern,6000
663,SoftTacos,European,9000
263,ShackBurger,European,7000
277,WaffleFries,European,7000
455,QuwarmahAlDajaj,Eastern,11000
466,KhoreshGhaarch,Iranian,14000
316,McFlurry,European,10000
308,KhoreshKarafs,Iranian,3000
565,AlooBainganMasala,Eastern,12000
681,CheeseCurds,European,1000
491,GrilledHalloumi,Eastern,5000

BelCanto,78078583,Havering
020,Knafeh,Eastern,1000
230,ChickenNuggets,European,15000
296,Shanklish,Eastern,7000
605,DolmeSeebZamini,Iranian,17000
231,BabaGhanoush,Eastern,18000
609,Pretzel,European,20000
117,CrunchyShellTacos,European,9000
648,MorasahPolow,Iranian,20000
796,IraqiMasgouf,Eastern,3000
576,UmmAli,Eastern,15000

Belgo,66469108,Bexley
098,HoneyBBQChickenSandwich,European,5000
298,EggMcMuffin,European,7000
058,WaffleFries,European,2000
658,ChickenFingers,European,20000
420,Samosa,Eastern,20000

Bincho,45285781,Westminster
679,Pretzel,European,6000
660,CheesyGorditaCrunch,European,16000
448,BigMac,European,13000
809,KhoreshBaamieh,Iranian,13000
745,KhoreshLoobiaSabzi,Iranian,11000
021,OriginalChickenSandwich,European,8000
276,MaashPolow,Iranian,3000
280,Frosty,European,13000
729,DolmeSeebZamini,Iranian,3000
442,Paratha,Eastern,9000
012,EggMcMuffin,European,10000
649,Khichdi,Eastern,12000
655,CajunFries,European,4000
246,Biscuits,European,14000
336,AdasPolow,Iranian,16000
701,KhoreshBaadenjaan,Iranian,12000
691,MashedPotatosandCajunGravy,European,10000
913,GlazedDoughnut,European,11000
150,Chicken,European,18000

BloomsRestaurant,58105587,TowerHamlets
758,McFlurry,European,10000
717,AlbalooPolow,Iranian,16000
870,HoneyBBQChickenSandwich,European,17000
848,Chicken,European,13000
456,Kateh,Iranian,8000
615,DoubleShackBurger,European,15000
829,KoofteBerenji,Iranian,1000
509,Filet-O-Fish,European,7000
235,DolmeBaadenjaan,Iranian,9000
417,BigMac,European,4000
527,GlazedDoughnut,European,11000
443,Pretzel,European,3000
113,Khichdi,Eastern,15000
975,SabziPolow,Iranian,17000
145,Falafel,Eastern,15000
454,CherryLimeade,European,2000
941,Steakburger,European,4000
011,Cheeseburger,European,19000

BobBobRicard,92435909,HammersmithAndFulham
246,EslaamboliPolow,Iranian,11000
573,KababKoobideh,Iranian,2000
663,CrunchyShellTacos,European,10000
500,BigMac,European,15000
625,ShackBurger,European,10000
490,ChickenQuesadilla,European,14000

ChezBruce,15414233,HammersmithAndFulham
438,Maghz,Iranian,11000
742,BhindiMasala,Eastern,9000
947,JoojehKabab,Iranian,16000
967,Cheeseburger,European,17000
544,Locha,Eastern,17000
523,ChickenTikkaMasala,Eastern,1000
318,ChickenBiscuit,European,6000
556,BakedApplePie,European,8000
302,SpicyChickenSandwich,European,7000
542,MaahiKabab,Iranian,12000
256,CrunchyShellTacos,European,8000
348,MaashPolow,Iranian,8000
784,OriginalChickenSandwich,European,17000
843,AnimalStyleBurger,European,11000
167,MorasahPolow,Iranian,15000
955,Steakburger,European,10000
773,KhoreshAnaar,Iranian,17000
096,WaffleFries,European,13000

ChinaTang,23990016,Greenwich
936,KhoreshAnaar,Iranian,1000
743,HaveejPolow,Iranian,1000
034,BigMac,European,7000
590,BakedApplePie,European,1000
558,Baklava,Eastern,10000
990,CajunFries,European,13000
870,ChickenFingers,European,14000
485,KababHosseini,Iranian,14000
629,AnimalStyleFries,European,2000
210,Hummus,Eastern,9000

Cipriani,15541127,Merton
878,OriginalChickenSandwich,European,15000
772,AnimalStyleBurger,European,7000
062,ZereshkPolow,Iranian,11000
506,McFlurry,European,3000
472,MaahiKabab,Iranian,12000
594,EggMcMuffin,European,12000
163,AlbalooPolow,Iranian,3000
676,Cheeseburger,European,9000
458,KoofteBerenji,Iranian,5000
395,Whopper,European,1000
332,CajunFries,European,1000
973,WaffleFries,European,5000
575,MashedPotatosandCajunGravy,European,19000
426,SpicyChickenSandwich,European,16000
203,QuwarmahAlDajaj,Eastern,12000
927,Gholveh,Iranian,15000
600,Maghz,Iranian,3000
287,Zabaan,Iranian,12000

Colony,77864950,Islington
788,DolmeBaadenjaan,Iranian,7000
348,Mansaf,Eastern,11000
695,BigMac,European,10000
563,Zabaan,Iranian,10000
837,BagaliShevidPolow,Iranian,19000
623,Baklava,Eastern,9000

Cranks,56604610,Hackney
535,QuarterPounder,European,1000
486,HoneyBBQChickenSandwich,European,13000
346,MeigoPolow,Iranian,11000
926,TahCheen,Iranian,19000
163,BagaliShevidPolow,Iranian,2000
980,Blizzard,European,13000
990,Frosty,European,14000
795,SpicyChickenSandwich,European,8000
076,WaffleFries,European,16000
941,EggMcMuffin,European,13000
787,Steakburger,European,5000
